4iJyoBOLtHqaGxP12qzhQI;Peaches (feat. Daniel Caesar & Giveon);100;198082;1;Justin Bieber;3/19/2021;0.677;0.696
7lPN2DXiMsVn7XUKtOW1CS;drivers license;99;242014;1;Olivia Rodrigo;1/8/2021;0.585;0.436
3Ofmpyhv5UAQ70mENzB277;Astronaut In The Ocean;98;132780;0;Masked Wolf;1/6/2021;0.778;0.695
5QO79kh1waicV47BqGRL3g;Save Your Tears;97;215627;1;The Weeknd;3/20/2020;0.68;0.826
6tDDoYIxWvMLTdKpjFkc1B;telepatía;97;160191;0;Kali Uchis;12/4/2020;0.653;0.524
0VjIjW4GlUZAMYd2vXMi3b;Blinding Lights;96;200040;0;The Weeknd;3/20/2020;0.514;0.73
7MAibcTli4IisCtbHKrGMh;Leave The Door Open;96;242096;0;Bruno Mars;3/5/2021;0.586;0.616
6f3Slt0GbA2bPZlz0aIFXN;The Business;95;164000;0;Tiësto;9/16/2020;0.798;0.62
60ynsPSSKe6O3sfwRnIBRf;Streets;94;226987;1;Doja Cat;11/7/2019;0.749;0.463
3FAJ6O0NOHQV8Mc5Ri6ENp;Heartbreak Anniversary;94;198371;0;Giveon;3/27/2020;0.449;0.465
27OeeYzk6klgBh83TSvGMA;WITHOUT YOU;94;161385;1;The Kid LAROI;11/6/2020;0.662;0.413
1xK1Gg9SxG8fy2Ya373oqb;Bandido;94;232853;0;Myke Towers;12/10/2020;0.713;0.617
7Bk0uXKk1uPT0XuQbpFzvs;Fiel;94;261667;0;Los Legendarios;2/4/2021;0.849;0.701
4cG7HUWYHBV6R6tHn1gxrl;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;94;169153;0;Riton;1/15/2021;0.824;0.862
2XIc1pqjXV3Cr2BQUGNBck;LA NOCHE DE ANOCHE;93;203201;0;Bad Bunny;11/27/2020;0.856;0.618
3YJJjQPAbDT7mGpX3WtQ9A;Good Days;93;279204;1;SZA;12/25/2020;0.436;0.655
6UelLqGlWMcVH1E5c4H7lY;Watermelon Sugar;92;174000;0;Harry Styles;12/13/2019;0.548;0.816
47EiUVwUp4C9fGccaPuUCS;DÁKITI;92;205090;1;Bad Bunny;10/30/2020;0.731;0.573
35mvY5S1H3J2QZyna3TFe0;positions;92;172325;1;Ariana Grande;10/30/2020;0.737;0.802
3VvA1wSxukMLsvXoXtlwWx;Hecha Pa;92;186133;0;Boza;7/31/2020;0.725;0.756
6ft4hAq6yde8jPZY2i5zLr;Paradise (feat. Dermot Kennedy);92;167903;0;MEDUZA;10/30/2020;0.632;0.595
5YYW3yRktprLRr47WK219Y;Ella No Es Tuya - Remix;92;218107;0;Rochy RD;2/3/2021;0.585;0.611
1XXimziG1uhM0eDNCZCrUl;Up;92;156945;1;Cardi B;2/5/2021;0.868;0.795
5uEYRdEIh9Bo4fpjDd4Na9;Goosebumps - Remix;92;162803;1;Travis Scott;1/15/2021;0.841;0.593
4u4NyuceXP7Uzh7XFJKCr1;Hold On;92;170813;0;Justin Bieber;3/5/2021;0.658;0.634
3iw6V4LH7yPj1ESORX9RIN;Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;92;116750;0;Nathan Evans;1/21/2021;0.722;0.893
4saklk6nie3yiGePpBwUoc;Dynamite;91;199054;0;BTS;11/20/2020;0.746;0.765
45bE4HXI0AwGZXfZtMp8JR;you broke me first;91;169266;0;Tate McRae;4/17/2020;0.667;0.373
7vrJn5hDSXRmdXoR30KgF1;BICHOTA;91;178947;1;KAROL G;10/23/2020;0.863;0.666
6Im9k8u9iIzKMrmV7BWtlF;34+35;91;173711;1;Ariana Grande;10/30/2020;0.83;0.585
7ytR5pFWmSjzHJIeQkgog4;ROCKSTAR (feat. Roddy Ricch);91;181733;1;DaBaby;4/17/2020;0.746;0.69
6cx06DFPPHchuUAcTxznu9;Head & Heart (feat. MNEK);91;166028;0;Joel Corry;7/3/2020;0.734;0.874
1tkg4EHVoqnhR6iFEXb60y;What You Know Bout Love;91;160000;1;Pop Smoke;7/3/2020;0.709;0.548
2TksvaRivgAEj780DgRB73;911;91;215891;1;Sech;2/5/2021;0.795;0.655
5YaskwnGDZFDRipaqzbwQx;Your Love (9PM);91;150053;0;ATB;1/15/2021;0.669;0.784
3aQem4jVGdhtg116TmJnHz;What’s Next;91;178154;1;Drake;3/5/2021;0.781;0.594
1diS6nkxMQc3wwC4G1j0bh;We;91;165507;0;Dua Lipa;2/11/2021;0.722;0.588
2QjOHCTQ1Jl3zawyYOpxh6;Sweater Weather;90;240400;0;The Neighbourhood;4/19/2013;0.612;0.807
7qEHsqek33rTcFNT9PFqLf;Someone You Loved;90;182161;0;Lewis Capaldi;5/17/2019;0.501;0.405
463CkQjx2Zk1yXoBuierM9;Levitating (feat. DaBaby);90;203064;0;Dua Lipa;10/1/2020;0.702;0.825
54bFM56PmE4YLRnqpW6Tha;Therefore I Am;90;174321;0;Billie Eilish;11/12/2020;0.889;0.34
4MzXwWMhyBbmu6hOcLVD49;DÁKITI;90;205090;1;Bad Bunny;11/27/2020;0.731;0.573
4Oun2ylbjFKMPTiaSbbCih;WAP (feat. Megan Thee Stallion);90;187541;1;Cardi B;8/7/2020;0.935;0.454
1KixkQVDUHggZMU9dUobgm;My Head & My Heart;90;174760;0;Ava Max;9/18/2020;0.614;0.934
079Ey5uxL04AKPQgVQwx5h;Baila Conmigo (with Rauw Alejandro);90;186088;0;Selena Gomez;3/12/2021;0.823;0.544
6fRxMU4LWwyaSSowV441IU;Beautiful Mistakes (feat. Megan Thee Stallion);90;227395;0;Maroon 5;3/3/2021;0.713;0.676
61KpQadow081I2AsbeLcsb;deja vu;90;215508;1;Olivia Rodrigo;4/1/2021;0.439;0.61
31qCy5ZaophVA81wtlwLc4;Anyone;90;190779;0;Justin Bieber;1/1/2021;0.686;0.538
2etHQJxIbV0soyPhelVs9Y;Best Friend (feat. Doja Cat);90;155884;1;Saweetie;1/7/2021;0.84;0.766
0u2P5u6lvoDfwTYjAADbn4;lovely (with Khalid);89;200186;0;Billie Eilish;4/19/2018;0.351;0.296
21jGcNKet2qwijlDFuPiPb;Circles;89;215280;0;Post Malone;9/6/2019;0.695;0.762
1Xi84slp6FryDSCbzq4UCD;Arcade;89;183624;0;Duncan Laurence;3/7/2019;0.45;0.329
4xqrdfXkTW4T0RauPLv3WA;Heather;89;198040;0;Conan Gray;3/20/2020;0.357;0.425
5vGLcdRuSbUhD8ScwsGSdA;Whoopty;89;123263;1;CJ;8/20/2020;0.719;0.648
1zLBsSVxETQOfINOLYvT5m;GIRL LIKE ME;89;222523;1;Black Eyed Peas;11/2/2020;0.965;0.485
0PvFJmanyNQMseIFrU708S;For The Night (feat. Lil Baby & DaBaby);89;190476;1;Pop Smoke;7/3/2020;0.823;0.586
6zFMeegAMYQo0mt8rXtrli;HOLIDAY;89;154998;1;Lil Nas X;11/13/2020;0.81;0.511
7ndTONDDRFGiPnnhOzOXxq;La Nota;89;216107;0;Manuel Turizo;10/8/2020;0.736;0.632
249gnXrbfmV8NG6jTEMSwD;Life Goes On;89;207481;0;BTS;11/20/2020;0.566;0.716
5nujrmhLynf4yMoMtj8AQF;Levitating (feat. DaBaby);89;203064;0;Dua Lipa;3/27/2020;0.702;0.825
7eJMfftS33KTjuF7lTsMCx;death bed (coffee for your head);89;173333;0;Powfu;2/8/2020;0.726;0.431
20McUFi8KCIVdNDLrkTDuZ;Goosebumps;89;163208;1;HVME;6/12/2020;0.767;0.659
43PGPuHIlVOc04jrZVh9L6;RAPSTAR;89;165926;1;Polo G;4/9/2021;0.789;0.536
65OVbaJR5O1RmwOQx0875b;Wants and Needs (feat. Lil Baby);89;192956;1;Drake;3/5/2021;0.578;0.449
2MZQAvsA7aZDssppBLRxYp;Batom de Cereja - Ao Vivo;89;140942;0;Israel & Rodolffo;1/29/2021;0.606;0.908
6gBFPUFcJLzWGx4lenP6h2;goosebumps;88;243837;1;Travis Scott;9/16/2016;0.841;0.728
0pqnGHJpmpxLKifKRmU6WP;Believer;88;204347;0;Imagine Dragons;6/23/2017;0.776;0.78
285pBltuF7vW8TeWk8hdRR;Lucid Dreams;88;239836;1;Juice WRLD;12/10/2018;0.511;0.566
45S5WTQEGOB1VHr1Q4FuPl;Golden;88;208907;0;Harry Styles;12/13/2019;0.448;0.838
24Yi9hE78yPEbZ4kxyoXAI;Roses - Imanbek Remix;88;176840;1;SAINt JHN;10/9/2019;0.77;0.724
2b8fOow8UzyDFAE27YhOZM;Memories;88;189486;0;Maroon 5;9/20/2019;0.764;0.32
0nbXyq5TXYPCO7pr3N8S4I;The Box;88;196653;1;Roddy Ricch;12/6/2019;0.896;0.586
3H7ihDc1dqLriiWXwsc2po;Breaking Me;88;166794;0;Topic;12/19/2019;0.789;0.72
2Fxmhks0bxGSBdJ92vM42m;bad guy;88;194088;0;Billie Eilish;3/29/2019;0.701;0.425
2XU0oxnq2qxCpomAAuJY8K;Dance Monkey;88;209438;0;Tones And I;10/17/2019;0.824;0.588
3jjujdWJ72nww5eGnfs2E7;Adore You;88;207133;0;Harry Styles;12/13/2019;0.676;0.771
2mM3gZ0BbPwPPMelbA8vgt;No Te Enamores - Remix;88;289933;1;Milly;11/20/2020;0.824;0.837
5RubKOuDoPn5Kj5TLVxSxY;TE MUDASTE;88;130014;1;Bad Bunny;11/27/2020;0.811;0.637
2SAqBLGA283SUiwJ3xOUVI;Laugh Now Cry Later (feat. Lil Durk);88;261493;1;Drake;8/14/2020;0.761;0.518
35UUpTmrcFXNIVIN26ujXl;Relación - Remix;88;247308;0;Sech;9/4/2020;0.793;0.771
0E4Y1XIbs8GrAT1YqVy6dq;Afterglow;88;185487;0;Ed Sheeran;12/21/2020;0.641;0.324
1VLtjHwRWOVJiE5Py7JxoQ;Martin & Gina;88;132833;1;Polo G;5/15/2020;0.832;0.534
3UHPGOkUcE4hE7sqBF4Snt;Film out;88;214621;0;BTS;4/1/2021;0.499;0.709
1nahzW3kfMuwReTka28tH5;Hold On;88;170813;0;Justin Bieber;3/19/2021;0.658;0.634
2Lhdl74nwwVGOE2Gv35QuK;Cupid;87;243773;0;Gym Class Heroes;2/22/2005;0.72;0.744
3U4isOIWM3VvDubwSI3y7a;All of Me;87;269560;0;John Legend;8/30/2013;0.422;0.264
5FVd6KXrgO9B3JPmC8OPst;Do I Wanna Know?;87;272394;0;Arctic Monkeys;9/9/2013;0.548;0.532
7fBv7CLKzipRk6EC6TWHOB;The Hills;87;242253;1;The Weeknd;8/28/2015;0.585;0.564
5E30LdtzQTGqRvNd7l6kG5;Daddy Issues;87;260173;0;The Neighbourhood;10/30/2015;0.588;0.521
55Am8neGJkdj2ADaM3aw5H;Train Wreck;87;208827;0;James Arthur;10/28/2016;0.311;0.485
5uCax9HTNlzGybIStD3vDh;Say You Won;87;211467;0;James Arthur;10/28/2016;0.358;0.557
7m9OqQk4RVRkw9JJdeAw96;Jocelyn Flores;87;119133;1;XXXTENTACION;8/25/2017;0.872;0.391
0tgVpDi06FyKpA1z0VMD4v;Perfect;87;263400;0;Ed Sheeran;3/3/2017;0.599;0.448
7qiZfU4dY1lWllzX7mPBI3;Shape of You;87;233713;0;Ed Sheeran;3/3/2017;0.825;0.652
4VXIryQMWpIdGgYR4TrjT1;All Girls Are The Same;87;165820;1;Juice WRLD;12/10/2018;0.671;0.529
3ee8Jmje8o58CHK66QrVC2;SAD!;87;166606;1;XXXTENTACION;3/16/2018;0.74;0.613
2xLMifQCjDGFmkHkpNLD9h;SICKO MODE;87;312820;1;Travis Scott;8/3/2018;0.834;0.73
3eekarcy7kvN4yt5ZFzltW;HIGHEST IN THE ROOM;87;175721;1;Travis Scott;10/4/2019;0.598;0.427
1ZMiCix7XSAbfAJlEZWMCp;Falling;87;240133;0;Harry Styles;12/13/2019;0.567;0.267
6Hj9jySrnFppAI0sEMCZpJ;Robbery;87;240051;1;Juice WRLD;3/8/2019;0.685;0.692
2tnVG71enUj33Ic2nFN6kZ;Ride It;87;157606;0;Regard;7/26/2019;0.88;0.751
6ocbgoVGwYJhOv1GgI9NsF;7 rings;87;178627;1;Ariana Grande;2/8/2019;0.778;0.317
3ZCTVFBt2Brf31RLEnCkWJ;everything i wanted;87;245426;0;Billie Eilish;11/13/2019;0.704;0.225
5u1n1kITHCxxp8twBcZxWy;Holy (feat. Chance The Rapper);87;212093;0;Justin Bieber;9/18/2020;0.673;0.704
0EhpEsp4L0oRGM0vmeaN5e;UN DIA (ONE DAY) (Feat. Tainy);87;232253;0;J Balvin;7/24/2020;0.571;0.693
21N4Buj4xsyLb218lYle61;Chica Ideal;87;183240;0;Sebastian Yatra;10/16/2020;0.574;0.891
2ePtv8MlBO9nuuXABqAfEX;SugarCrash!;87;80081;1;ElyOtto;8/25/2020;0.748;0.734
02kDW379Yfd5PzW5A6vuGt;Lemonade;87;195429;1;Internet Money;8/14/2020;0.799;0.66
2U5WueTLIK5WJLD7mvDODv;Wishing Well;87;194621;1;Juice WRLD;7/10/2020;0.65;0.613
2bgcUk2A3jjKbCJ7KPquTi;Mi Niña;87;213314;0;Wisin;9/23/2020;0.823;0.821
4y4spB9m0Q6026KfkAvy9Q;Lonely (with benny blanco);87;149297;1;Justin Bieber;10/16/2020;0.631;0.239
1xQ6trAsedVPCdbtDAmk0c;Savage Love (Laxed - Siren Beat);87;171375;1;Jawsh 685;6/11/2020;0.767;0.481
7r9ZhitdQBONTFOiJW5mr8;Reloj;87;231595;1;Rauw Alejandro;10/22/2020;0.823;0.537
2r6OAV3WsYtXuXjvJ1lIDi;Hello (feat. A Boogie Wit da Hoodie);87;190534;1;Pop Smoke;7/20/2020;0.905;0.647
1ere9b9vDw2N3m9d4uiXxa;Facas - Ao Vivo;87;196380;0;Diego & Victor Hugo;10/15/2020;0.443;0.509
6AGOKlMZWLCaEJGnaROtF9;Put Your Records On;87;210463;0;Ritt Momney;4/24/2020;0.399;0.491
59qrUpoplZxbIZxk6X0Bm3;Take You Dancing;87;190306;0;Jason Derulo;7/22/2020;0.789;0.711
5JqZ3oqF00jkT81foAFvqg;Prisoner (feat. Dua Lipa);87;169333;0;Miley Cyrus;11/20/2020;0.781;0.67
5y7DaS3jAc9eZzcSOoUIwU;Una Locura;87;230693;0;Ozuna;9/4/2020;0.714;0.761
0siYMEsGrzzzlWLXK5zJfS;BED;87;178088;0;Joel Corry;2/26/2021;0.671;0.782
58pgi1RpcU2fVJsxhm7BIr;Tapão Na Raba;87;175047;0;Raí Saia Rodada;1/22/2021;0.808;0.796
7FdUvDkaE24o3FPIWTvzv2;Follow You;87;175644;0;Imagine Dragons;3/12/2021;0.542;0.732
0ofHAoxe9vBkTCp2UQIavz;Dreams - 2004 Remaster;86;257800;0;Fleetwood Mac;2/4/1977;0.828;0.492
2WfaOiMkCvy7F5fcp2zZ8L;Take on Me;86;225280;0;a-ha;6/1/1985;0.573;0.902
3AJwUDP919kvQ9QcozQPxg;Yellow;86;266773;0;Coldplay;7/10/2000;0.429;0.661
2kS6td1yvmpNgZTt1q5pQq;Hayloft;86;181680;0;Mother Mother;9/23/2008;0.527;0.922
086myS9r57YsLbJpU0TgK9;Why;86;161124;0;Arctic Monkeys;9/9/2013;0.691;0.631
0ct6r3EGTcMLPtrXHDvVjc;The Nights;86;176658;0;Avicii;1/1/2014;0.527;0.835
6K4t31amVTZDgR3sKmwUJJ;The Less I Know The Better;86;216320;1;Tame Impala;7/17/2015;0.64;0.74
3CRDbSIZ4r5MsZ0YwxuEkn;Stressed Out;86;202333;0;Twenty One Pilots;5/15/2015;0.734;0.637
2GiJYvgVaD2HtM8GqD9EgQ;Electric Love;86;218107;0;BØRNS;10/16/2015;0.611;0.797
7BKLCZ1jbUBVqRi2FVlTVw;Closer;86;244960;0;The Chainsmokers;7/29/2016;0.748;0.524
7MXVkk9YMctZqd1Srtv4MB;Starboy;86;230453;1;The Weeknd;11/25/2016;0.679;0.587
7MiZjKawmXTsTNePyTfPyL;Devil Eyes;86;131272;0;Hippie Sabotage;2/5/2016;0.391;0.396
2bRKxuH1o7pTmb1y4GfdEc;Clean White Noise - Loopable with no fade;86;90228;0;Erik Eriksson;1/8/2017;0;0.00342
2ZRo7axmMPeSVUvDbGkJah;Hope;86;110886;1;XXXTENTACION;3/16/2018;0.592;0.457
7uoFMmxln0GPXQ0AcCBXRq;Snowman;86;165907;0;Sia;11/1/2018;0.716;0.512
2VxeLyX666F8uXCJ0dZF8B;Shallow;86;215733;0;Lady Gaga;10/5/2018;0.572;0.385
0e7ipj03S05BNilyu5bRzt;rockstar (feat. 21 Savage);86;218147;1;Post Malone;4/27/2018;0.585;0.52
2kJwzbxV2ppxnQoYw4GLBZ;If the World Was Ending - feat. Julia Michaels;86;208687;0;JP Saxe;10/17/2019;0.464;0.473
43zdsphuZLzwA9k4DJhU0I;when the party;86;196077;0;Billie Eilish;3/29/2019;0.367;0.111
79s5XnCN4TJKTVMSmOx8Ep;Dior;86;216387;1;Pop Smoke;7/26/2019;0.548;0.805
30bqVoKjX479ab90a8Pafp;Star Shopping;86;142000;1;Lil Peep;4/19/2019;0.585;0.471
6WrI0LAC5M1Rw2MnX2ZvEg;Don;86;183290;0;Dua Lipa;10/31/2019;0.794;0.793
696DnlkuDOXcMAnKlTgXXK;ROXANNE;86;163636;1;Arizona Zervas;10/10/2019;0.621;0.601
2gMXnyrvIjhVBUZwvLZDMP;Before You Go;86;215107;0;Lewis Capaldi;11/22/2019;0.459;0.575
4HBZA5flZLE435QTztThqH;Stuck with U (with Justin Bieber);86;228482;0;Ariana Grande;5/8/2020;0.597;0.45
6EDO9iiTtwNv6waLwa1UUq;POPSTAR (feat. Drake);86;200221;1;DJ Khaled;7/17/2020;0.8;0.56
7kDUspsoYfLkWnZR7qwHZl;my ex;86;139461;1;Machine Gun Kelly;9/25/2020;0.731;0.675
15OjBeqNX3bShsGYQbteRv;La Tóxica;86;180520;0;Farruko;7/24/2020;0.659;0.701
0ri0Han4IRJhzvERHOZTMr;At My Worst;86;170345;0;Pink Sweat$;7/17/2020;0.813;0.415
7szuecWAPwGoV1e5vGu8tl;In Your Eyes;86;237520;1;The Weeknd;3/20/2020;0.667;0.719
27X3qzgB0Show6qfw5wNOK;Esquema Preferido;86;189463;0;DJ Ivis;11/26/2020;0.669;0.812
7FIWs0pqAYbP91WWM0vlTQ;Godzilla (feat. Juice WRLD);86;210800;1;Eminem;1/17/2020;0.808;0.745
4Lt6GXGzYsa1tgkv3nGSTm;Love Not War (The Tampa Beat);86;192921;0;Jason Derulo;11/20/2020;0.738;0.85
68mrW6gXHgupgSiDHgaDi5;Polvo;86;211130;0;Nicky Jam;11/20/2020;0.763;0.621
2mt1IqcFyY1zmYZT8Q3xw9;hot girl bummer;86;188344;1;blackbear;8/21/2020;0.782;0.559
2nZj5YymF54qhAu7RneVP6;Coração Na Cama;86;173227;0;Hugo & Guilherme;11/13/2020;0.764;0.794
4HYDUMY0xSpeBr0AMY9cUz;La Curiosidad;86;219048;0;Jay Wheeler;6/12/2020;0.845;0.677
2Y0wPrPQBrGhoLn14xRYCG;Come & Go (with Marshmello);86;205485;1;Juice WRLD;7/10/2020;0.625;0.814
7hxHWCCAIIxFLCzvDgnQHX;Lemonade (feat. Gunna, Don Toliver & NAV);86;195429;1;Internet Money;8/28/2020;0.8;0.658
4RJz8NfIe09gpKMiRUWKhJ;Parce (feat. Justin Quiles);86;248345;0;Maluma;8/21/2020;0.691;0.739
4C6BlqqMwjFzOXzqpTeoWR;Ponte Pa;86;202373;0;Justin Quiles;11/20/2020;0.878;0.713
6KfoDhO4XUWSbnyKjNp9c4;Maniac;86;185773;0;Conan Gray;3/20/2020;0.628;0.639
5rZlwNFl01HqLWBQGryKSm;Mood Swings (feat. Lil Tjay);86;213333;1;Pop Smoke;7/3/2020;0.48;0.602
5Km4r87BoX2qqtoprYS1gh;LOCATION;86;265240;1;KAROL G;2/12/2021;0.772;0.758
0VWLId2RwPCno9s1cJm2Vy;Travesuras - Remix;86;324426;1;Nio Garcia;3/11/2021;0.739;0.788
6Tio0ZoDeSQnI7EBAqWer2;Cover Me In Sunshine;86;141050;0;P!nk;2/12/2021;0.476;0.594
2pPO9YecZimmuVQfIzfV6U;Wasted Love (feat. Lagique);86;139563;0;Ofenbach;1/8/2021;0.734;0.855
4FRW5Nza1Ym91BGV4nFWXI;Lemon Pepper Freestyle (feat. Rick Ross);86;383037;1;Drake;3/5/2021;0.77;0.637
1mauYRwbpoGQX6itP2FAJC;Fan de Tus Fotos;86;197647;0;Nicky Jam;2/8/2021;0.728;0.689
7I8L3vYCLThw2FDrE6LuzE;Además de Mí - Remix;86;330040;1;Rusherking;3/4/2021;0.397;0.613
2dl5K2ScW7jYhAhuem06cm;PROBLEMA;86;184507;1;Daddy Yankee;2/26/2021;0.773;0.8
5SFXOMJJ334Wn2PwBHeRZN;Girls Like Us;86;189000;0;Zoe Wees;1/12/2021;0.444;0.648
2xgACMNtJ5YktyvOC83SPO;On The Ground;86;168086;0;ROSÉ;3/12/2021;0.311;0.607
08mG3Y1vljYA6bvDt4Wqkj;Back In Black;85;255493;0;AC/DC;7/25/1980;0.31;0.7
5ChkMS8OtdzJeqyybCc9R5;Billie Jean;85;293827;0;Michael Jackson;11/30/1982;0.92;0.654
1JSTJqkT5qHq8MDJnJbRE1;Every Breath You Take;85;253920;0;The Police;6/17/1983;0.82;0.452
4xkOaSrkexMciUUogZKVTS;;85;297787;1;Eminem;5/26/2002;0.548;0.847
7lQ8MOhq6IN2w8EYcFNSUk;Without Me;85;290320;1;Eminem;5/26/2002;0.908;0.669
7w87IxuO7BDcJ3YUqCyMTT;Pumped Up Kicks;85;239600;0;Foster The People;5/23/2011;0.733;0.71
0nJW01T7XtvILxQgC5J7Wh;When I Was Your Man;85;213827;0;Bruno Mars;12/7/2012;0.612;0.28
3bidbhpOYeV4knp8AIu8Xn;Can;85;258343;0;Macklemore & Ryan Lewis;10/9/2012;0.641;0.922
3w3y8KPTfNeOKPiqUTakBh;Locked out of Heaven;85;233478;0;Bruno Mars;12/7/2012;0.726;0.698
0nrRP2bk19rLc0orkWPQk2;Wake Me Up;85;247427;0;Avicii;1/1/2013;0.532;0.783
62vpWI1CHwFy7tMIcSStl8;No Role Modelz;85;292987;1;J. Cole;12/9/2014;0.692;0.521
1HNkqx9Ahdgi1Ixy2xkKkL;Photograph;85;258987;0;Ed Sheeran;6/21/2014;0.614;0.379
3GVkPk8mqxz0itaAriG1L7;Everybody Dies In Their Nightmares;85;95467;1;XXXTENTACION;8/25/2017;0.734;0.57
1zB4vmk8tFRmM9UULNzbLB;Thunder;85;187147;0;Imagine Dragons;6/23/2017;0.605;0.822
0JP9xo3adEtGSdUEISiszL;Moonlight;85;135090;1;XXXTENTACION;3/16/2018;0.921;0.537
2dpaYNEQHiRxtZbfNsse99;Happier;85;214290;0;Marshmello;8/17/2018;0.687;0.792
3KkXRkHbMCARz0aVfEt68P;Sunflower - Spider-Man: Into the Spider-Verse;85;158040;0;Post Malone;12/14/2018;0.76;0.479
0rKtyWc8bvkriBthvHKY8d;SLOW DANCING IN THE DARK;85;209274;1;Joji;10/26/2018;0.515;0.479
2qxmye6gAegTMjLKEBoR3d;Let Me Down Slowly;85;169354;0;Alec Benjamin;11/16/2018;0.652;0.557
4ZLzoOkj0MPWrTLvooIuaa;Get You The Moon (feat. Snøw);85;179080;0;Kina;10/8/2018;0.498;0.235
4TnjEaWOeW0eKTKIEvJyCa;Falling;85;159382;0;Trevor Daniel;10/5/2018;0.785;0.431
3Dv1eDb0MEgF93GpLXlucZ;Say So;85;237893;1;Doja Cat;11/7/2019;0.787;0.673
4PEfJZpVjdclfzZ9XO8uDw;Hasta Abajo;85;229827;0;Kevin Roldan;10/4/2019;0.714;0.671
